ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"14.225.254.128","elite","AS135905","VN","Vietnam Posts and Telecommunications Group","203","VNPT","5555","socks5","1","41","4552","10984","2025-12-04T16:14:41.494Z","2815"
"202.21.102.68","elite","AS9484","MN","Mobinet LLC","114","N/A","5678","socks4","1","70","7753","11012","2025-12-04T16:14:19.169Z","4696"
"146.19.196.173","elite","AS8849","SG","Melbikomas UAB","233","Melbikomas UAB","54267","socks4","1","99","1153","1164","2025-12-04T16:14:19.176Z","3515"
"89.149.32.10","elite","AS12310","RO","iNES Group","29","iNES GROUP SRL","10080","socks4","1","100","2930","2931","2025-12-04T16:14:19.173Z","2201"
"81.18.54.228","elite","AS9125","RS","Orion Telekom - Kraljevo","36","N/A","1080","socks4","1","98","3850","3914","2025-12-04T16:14:19.174Z","202"
"149.20.253.101","elite","AS18615","US","Mainstream Fiber Networks, LLC","109","Mainstream Fiber Networks, LLC","12551","socks4","1","100","11108","11122","2025-12-04T16:14:19.174Z","1508"
"186.192.195.211","elite","AS53133","BR","P & K Networks e Telecomunicações Ltda","190","P & K Networks e Telecomunicações Ltda","8080","socks4","1","99","10938","11019","2025-12-04T16:14:19.170Z","3589"
"113.161.248.75","elite","AS45899","VN","VietNam Post and Telecom Corporation","213","Vietnam Posts and Telecommunications Group","1080","socks4","1","24","2643","11050","2025-12-04T16:14:18.786Z","1883"
"104.16.254.233","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","22917","100","24","24","2025-12-04T16:14:18.867Z","1889"
"37.59.54.139","elite","AS16276","FR","OVH SAS","15","OVH ISP","8080","socks4","1","100","613","613","2025-12-04T16:14:18.897Z","720"
"45.131.210.206","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","22880","100","24","24","2025-12-04T16:14:18.883Z","2305"
"185.36.132.223","elite","AS199752","NL","Go-Trex Internet Solution Partner","12","Go-Trex","9050","socks4","1","100","11015","11018","2025-12-04T16:14:18.894Z","5096"
"154.194.12.215","elite","AS209242","SG","Great Golden Horse Co","3","Rich TOP EC Limited","80","http","22887","100","23","23","2025-12-04T16:14:18.876Z","501"
"116.102.34.91","elite","AS7552","VN","Viettel Corporation","234","Viettel Group","10040","socks4","1","55","627","1132","2025-12-04T16:14:18.892Z","3498"
"2.197.124.172","elite","AS16232","IT","Telecom Italia Mobile","55","N/A","4153","socks4","1","80","8777","10919","2025-12-04T16:14:18.897Z","2699"
"119.46.2.244","elite","AS7470","TH","True Internet Corporation CO. Ltd.","217","True Internet Co., Ltd.","4145","socks4","1","97","4138","4245","2025-12-04T16:14:18.963Z","2909"
"37.68.74.179","elite","AS15557","FR","Societe Francaise Du Radiotelephone - SFR SA","37","SFR Infra","80","socks4","1","97","1195","1229","2025-12-04T16:14:18.893Z","4587"
"14.34.137.10","elite","AS4766","KR","Korea Telecom","283","Kornet","3128","socks4","1","100","10985","11027","2025-12-04T16:14:18.892Z","1401"
"110.139.206.93","elite","AS7713","ID","PT. TELKOM INDONESIA","210","N/A","80","socks4","2","70","1708","2434","2025-12-04T16:14:18.888Z","3913"
"209.143.1.244","elite","AS7106","US","Com Net, Inc","101","Com","80","socks4","1","100","11031","11065","2025-12-04T16:14:18.891Z","3021"
"172.67.137.155","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","22919","100","22","22","2025-12-04T16:14:18.801Z","3001"
"104.18.89.200","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","22813","100","11","11","2025-12-04T16:14:18.885Z","3077"
"163.53.150.138","elite","AS58923","BD","Intercloud","360","InterCloud ltd","1080","socks4","1","98","4264","4342","2025-12-04T16:14:18.890Z","1507"
